name,rate,low
Canada,0.15,0
Canada,0.205,55867
Canada,0.26,111733
Canada,0.29,173205
Canada,0.33,246752
United Kingdom,0.2,0
United Kingdom,0.4,37700
United Kingdom,0.45,125140
United States,0.1,0
United States,0.12,11600
United States,0.22,47150
United States,0.24,100525
United States,0.32,191950
United States,0.35,243725
United States,0.37,609350
